Date,T1,T2,T3,T4,T5,Close
1992-05-11,-0.7184590120754704,-0.7062506480016048,-0.7088066858290526,-0.7075519036228509,-0.7024236633018528,-0.7040360887455709
1992-05-18,-0.7062506480016048,-0.7088066858290526,-0.7075519036228509,-0.7024236633018528,-0.7040360887455709,-0.7046968194725081
1992-05-25,-0.7088066858290526,-0.7075519036228509,-0.7024236633018528,-0.7040360887455709,-0.7046968194725081,-0.7050206179403724
1992-06-01,-0.7075519036228509,-0.7024236633018528,-0.7040360887455709,-0.7046968194725081,-0.7050206179403724,-0.7045068846458044
1992-06-08,-0.7024236633018528,-0.7040360887455709,-0.7046968194725081,-0.7050206179403724,-0.7045068846458044,-0.7090835057360568
1992-06-15,-0.7040360887455709,-0.7046968194725081,-0.7050206179403724,-0.7045068846458044,-0.7090835057360568,-0.7139288644002624
1992-06-22,-0.7046968194725081,-0.7050206179403724,-0.7045068846458044,-0.7090835057360568,-0.7139288644002624,-0.7154766311795707
1992-06-29,-0.7050206179403724,-0.7045068846458044,-0.7090835057360568,-0.7139288644002624,-0.7154766311795707,-0.7085414842758095
1992-07-06,-0.7045068846458044,-0.7090835057360568,-0.7139288644002624,-0.7154766311795707,-0.7085414842758095,-0.7065274679086091
1992-07-13,-0.7090835057360568,-0.7139288644002624,-0.7154766311795707,-0.7085414842758095,-0.7065274679086091,-0.702348901721129
1992-07-20,-0.7139288644002624,-0.7154766311795707,-0.7085414842758095,-0.7065274679086091,-0.702348901721129,-0.7065294884918718
1992-07-27,-0.7154766311795707,-0.7085414842758095,-0.7065274679086091,-0.702348901721129,-0.7065294884918718,-0.6989927129216105
1992-08-03,-0.7085414842758095,-0.7065274679086091,-0.702348901721129,-0.7065294884918718,-0.6989927129216105,-0.6966306510873921
1992-08-10,-0.7065274679086091,-0.702348901721129,-0.7065294884918718,-0.6989927129216105,-0.6966306510873921,-0.7001404042148835
1992-08-17,-0.702348901721129,-0.7065294884918718,-0.6989927129216105,-0.6966306510873921,-0.7001404042148835,-0.7002151657956074
1992-08-24,-0.7065294884918718,-0.6989927129216105,-0.6966306510873921,-0.7001404042148835,-0.7002151657956074,-0.7061071865899456
1992-08-31,-0.6989927129216105,-0.6966306510873921,-0.7001404042148835,-0.7002151657956074,-0.7061071865899456,-0.7022822224734565
1992-09-07,-0.6966306510873921,-0.7001404042148835,-0.7002151657956074,-0.7061071865899456,-0.7022822224734565,-0.701317899111283
1992-09-14,-0.7001404042148835,-0.7002151657956074,-0.7061071865899456,-0.7022822224734565,-0.701317899111283,-0.6972954229808547
1992-09-21,-0.7002151657956074,-0.7061071865899456,-0.7022822224734565,-0.701317899111283,-0.6972954229808547,-0.7009890491852615
1992-09-28,-0.7061071865899456,-0.7022822224734565,-0.701317899111283,-0.6972954229808547,-0.7009890491852615,-0.7033248434370638
1992-10-05,-0.7022822224734565,-0.701317899111283,-0.6972954229808547,-0.7009890491852615,-0.7033248434370638,-0.7131388163445058
1992-10-12,-0.701317899111283,-0.6972954229808547,-0.7009890491852615,-0.7033248434370638,-0.7131388163445058,-0.7094957047216691
1992-10-19,-0.6972954229808547,-0.7009890491852615,-0.7033248434370638,-0.7131388163445058,-0.7094957047216691,-0.703900709666963
1992-10-26,-0.7009890491852615,-0.7033248434370638,-0.7131388163445058,-0.7094957047216691,-0.703900709666963,-0.6996190937330801
1992-11-02,-0.7033248434370638,-0.7131388163445058,-0.7094957047216691,-0.703900709666963,-0.6996190937330801,-0.6997443698953738
1992-11-09,-0.7131388163445058,-0.7094957047216691,-0.703900709666963,-0.6996190937330801,-0.6997443698953738,-0.6979238243755869
1992-11-16,-0.7094957047216691,-0.703900709666963,-0.6996190937330801,-0.6997443698953738,-0.6979238243755869,-0.696236637351145
1992-11-23,-0.703900709666963,-0.6996190937330801,-0.6997443698953738,-0.6979238243755869,-0.696236637351145,-0.6907780316666783
1992-11-30,-0.6996190937330801,-0.6997443698953738,-0.6979238243755869,-0.696236637351145,-0.6907780316666783,-0.6879663900564859
1992-12-07,-0.6997443698953738,-0.6979238243755869,-0.696236637351145,-0.6907780316666783,-0.6879663900564859,-0.6834544276306429
1992-12-14,-0.6979238243755869,-0.696236637351145,-0.6907780316666783,-0.6879663900564859,-0.6834544276306429,-0.6839959439450746
1992-12-21,-0.696236637351145,-0.6907780316666783,-0.6879663900564859,-0.6834544276306429,-0.6839959439450746,-0.6787176753168132
1992-12-28,-0.6907780316666783,-0.6879663900564859,-0.6834544276306429,-0.6839959439450746,-0.6787176753168132,-0.6807761445157955
1993-01-04,-0.6879663900564859,-0.6834544276306429,-0.6839959439450746,-0.6787176753168132,-0.6807761445157955,-0.6859397450438927
1993-01-11,-0.6834544276306429,-0.6839959439450746,-0.6787176753168132,-0.6807761445157955,-0.6859397450438927,-0.6851133264894056
1993-01-18,-0.6839959439450746,-0.6787176753168132,-0.6807761445157955,-0.6859397450438927,-0.6851133264894056,-0.6833291514683489
1993-01-25,-0.6787176753168132,-0.6807761445157955,-0.6859397450438927,-0.6851133264894056,-0.6833291514683489,-0.6795769283493207
1993-02-01,-0.6807761445157955,-0.6859397450438927,-0.6851133264894056,-0.6833291514683489,-0.6795769283493207,-0.6724523517646718
